"filename", "language", "TypeScript JSX", "TypeScript", "JavaScript", "CSS", "JSON with Comments", "JSON", "Markdown", "Prisma", "comment", "blank", "total"
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/exercises/flashonebytwo.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/exercises/flashtwobyone.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/exercises/flashtwobytwo.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/exercises/schulteby3.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/exercises/schulteby5.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/exercises/schulteby7.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 27
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/exercises/speedtest.tsx", "TypeScript JSX", 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/exercises/wordchange.tsx", "TypeScript JSX", 25, 0, 0, 0, 0, 0, 0, 0, 0, 4, 29
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/index.tsx", "TypeScript JSX", 64, 0, 0, 0, 0, 0, 0, 0, 0, 3, 67
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/loadnext.tsx", "TypeScript JSX", 93, 0, 0, 0, 0, 0, 0, 0, 0, 6, 99
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/nav.tsx", "TypeScript JSX", 56, 0, 0, 0, 0, 0, 0, 0, 0, 7, 63
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/next.tsx", "TypeScript JSX", 54, 0, 0, 0, 0, 0, 0, 0, 1, 2, 57
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/settings.tsx", "TypeScript JSX", 320, 0, 0, 0, 0, 0, 0, 0, 0, 3, 323
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/setup.tsx", "TypeScript JSX", 87, 0, 0, 0, 0, 0, 0, 0, 0, 3, 90
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/signin.tsx", "TypeScript JSX", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 26
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/pages/signup.tsx", "TypeScript JSX", 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/server/api/context.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 22, 1, 23
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/server/api/root.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 0, 0, 6, 3, 21
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/server/api/routers/app.ts", "TypeScript", 0, 123, 0, 0, 0, 0, 0, 0, 0, 7, 130
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/server/api/routers/example.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/server/api/trpc.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 0, 0, 56, 11, 110
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/server/db.ts", "TypeScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 5, 15
"/Users/jasonboyett/Documents/Coding/GitHub/speedread/src/stores/useCubeStore.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
