"filename", "language", "JSON with Comments", "Markdown", "JSON", "JavaScript", "TypeScript", "TypeScript JSX", "CSS", "YAML", "Diff", "Prisma", "comment", "blank", "total"
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/components/instructions/NumberMatch.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 155, 0, 0, 0, 0, 3, 4, 162
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/components/instructions/SchulteTable.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 174, 0, 0, 0, 0, 3, 4, 181
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/components/instructions/SpeedTest.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 3, 4, 185
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/components/instructions/WordFlasher.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 163, 0, 0, 0, 0, 3, 4, 170
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/components/instructions/WordPair.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 3, 4, 185
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/components/speedtest/index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 366, 0, 0, 0, 0, 12, 32, 410
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/cva/FontProvider.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/cva/WordFlashCell.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 80, 0, 0, 0, 0, 0, 5, 85
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/hooks/useIncrementalState.ts", "TypeScript", 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 0, 2, 32
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/hooks/useInterval.ts", "TypeScript", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 4, 25
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/hooks/useStopWatch.ts", "TypeScript", 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 29, 7, 67
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/hooks/useWarmUpBrowser.ts", "TypeScript", 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 2, 12
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/screens/Settings.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 376, 0, 0, 0, 0, 0, 16, 392
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/screens/auth.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 51, 0, 0, 0, 0, 0, 5, 56
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/screens/home.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 368, 0, 0, 0, 0, 0, 18, 386
"/home/jboyett/Documents/dev/github/iris-mobile/apps/expo/src/screens/signout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
